Time,x,y,z

6.96,-0.1635715,-0.026108,1.167784
6.98,0.024888,-0.2625745,1.322206
7,-0.001708,-0.4134275,0.7571625
7.02,-0.340563,0.235948,-0.1718675
7.04,-0.215818,0.1733315,-0.7228805
7.06,0.09912501,-0.0472445,-0.8440875
7.08,0.2706265,-0.251198,-0.92842
7.1,0.366793,-0.127307,-1.29012
7.12,0.330925,0.06420249,-1.52009
7.14,0.330925,0.06420249,-1.52009
7.16,0.208376,0.090951,-1.212955
7.18,-0.007808,0.0355325,-1.457199
7.2,-0.221186,0.114375,-2.07095
7.22,-0.5080385,0.1793095,-2.105019
7.24,-0.360693,0.107055,-1.784585
7.26,-0.1550315,0.0405345,-1.673993
7.28,-0.1550315,0.0405345,-1.673993
7.3,-0.126209,0.0456585,-1.613084
7.32,-0.228872,-0.0476105,-1.229668
7.34,-0.118401,-0.008174,-1.446463
7.36,-0.0293105,-0.0513925,-1.527653
7.38,-0.0631045,-0.00915,-1.257149
7.4,-0.0631045,-0.00915,-1.257149
7.42,-0.0761585,0.0384605,-0.777079
7.44,-0.108763,0.0380945,-0.7410585
7.46,-0.1508835,0.0523685,-0.813679
7.48,-0.107543,0.004758,-0.9517525
7.5,-0.0579805,-0.006466,-1.132038
7.52,-0.0579805,-0.006466,-1.132038
7.54,-0.096929,0,-1.102849
7.56,-0.0848205,0.002928,-1.055483
7.58,-0.0485865,-0.001952,-1.037915
7.6,-0.0467565,-0.015494,-1.029619
7.62,-0.0623725,0.009516001,-1.011929
7.64,-0.0623725,0.009516001,-1.011929
7.66,-0.0626165,0.016836,-0.9975025
7.68,-0.0721325,0.022814,-0.9942085
7.7,-0.0296765,-0.0061,-1.042673
7.72,-0.0379725,0.007686,-1.039379
7.74,-0.0610305,0.02196,-1.004121
7.76,-0.0610305,0.02196,-1.004121
7.78,-0.0754265,0.008052,-1.026813
7.8,-0.0389485,-0.002196,-1.042429
7.82,-0.0435845,-0.003416,-1.023275
7.84,-0.0826245,0.00793,-1.000919
7.86,-0.09339099,0.01464,-1.012661
7.88,-0.0776225,0.012566,-1.024983
7.9,-0.0765245,0.003538,-1.014491
7.92,-0.0724985,0.001342,-1.015711
7.94,-0.0616405,0,-1.019005
7.96,-0.0588345,-0.00061,-1.032425
